"months","on_parole","prisoners"
1,981,19
2,950,50
3,922,78
4,893,107
5,869,131
6,849,151
7,828,172
8,797,203
9,778,222
10,765,235
11,749,251
12,736,264
13,726,274
14,725,275
15,719,281
16,715,285
17,713,287
18,705,295
19,697,303
20,692,308
21,690,310
22,686,314
23,686,314
24,674,326
25,665,335
26,667,333
27,670,330
28,674,326
29,674,326
30,678,322
31,675,325
32,677,323
33,681,319
34,680,320
35,676,324
36,680,320
37,683,317
38,681,319
39,681,319
40,680,320
41,685,315
42,688,312
43,687,313
44,684,316
45,686,314
46,684,316
47,688,312
48,684,316
49,681,319
50,687,313
51,689,311
52,691,309
53,693,307
54,694,306
55,702,298
56,700,300
57,702,298
58,710,290
59,716,284
60,715,285
